64,64 64,75 65,64 65,75 66,64 66,75 67,64 67,75 68,64 68,75 69,64 69,75 70,64 70,75 71,64 71,75 72,64 72,75 73,64 73,75 74,64 74,75 75,64 75,75 64,65 75,65 64,66 75,66 64,67 75,67 64,68 75,68 64,69 75,69 64,70 75,70 64,71 75,71 64,72 75,72 64,73 75,73 64,74 75,74
80,64 80,75 81,64 81,75 82,64 82,75 83,64 83,75 84,64 84,75 85,64 85,75 86,64 86,75 87,64 87,75 88,64 88,75 89,64 89,75 90,64 90,75 91,64 91,75 80,65 91,65 80,66 91,66 80,67 91,67 80,68 91,68 80,69 91,69 80,70 91,70 80,71 91,71 80,72 91,72 80,73 91,73 80,74 91,74
96,64 96,75 97,64 97,75 98,64 98,75 99,64 99,75 100,64 100,75 101,64 101,75 102,64 102,75 103,64 103,75 104,64 104,75 105,64 105,75 106,64 106,75 107,64 107,75 96,65 107,65 96,66 107,66 96,67 107,67 96,68 107,68 96,69 107,69 96,70 107,70 96,71 107,71 96,72 107,72 96,73 107,73 96,74 107,74
112,64 112,75 113,64 113,75 114,64 114,75 115,64 115,75 116,64 116,75 117,64 117,75 118,64 118,75 119,64 119,75 120,64 120,75 121,64 121,75 122,64 122,75 123,64 123,75 112,65 123,65 112,66 123,66 112,67 123,67 112,68 123,68 112,69 123,69 112,70 123,70 112,71 123,71 112,72 123,72 112,73 123,73 112,74 123,74
128,64 128,75 129,64 129,75 130,64 130,75 131,64 131,75 132,64 132,75 133,64 133,75 134,64 134,75 135,64 135,75 136,64 136,75 137,64 137,75 138,64 138,75 139,64 139,75 128,65 139,65 128,66 139,66 128,67 139,67 128,68 139,68 128,69 139,69 128,70 139,70 128,71 139,71 128,72 139,72 128,73 139,73 128,74 139,74
144,64 144,75 145,64 145,75 146,64 146,75 147,64 147,75 148,64 148,75 149,64 149,75 150,64 150,75 151,64 151,75 152,64 152,75 153,64 153,75 154,64 154,75 155,64 155,75 144,65 155,65 144,66 155,66 144,67 155,67 144,68 155,68 144,69 155,69 144,70 155,70 144,71 155,71 144,72 155,72 144,73 155,73 144,74 155,74
160,64 160,75 161,64 161,75 162,64 162,75 163,64 163,75 164,64 164,75 165,64 165,75 166,64 166,75 167,64 167,75 168,64 168,75 169,64 169,75 170,64 170,75 171,64 171,75 160,65 171,65 160,66 171,66 160,67 171,67 160,68 171,68 160,69 171,69 160,70 171,70 160,71 171,71 160,72 171,72 160,73 171,73 160,74 171,74
176,64 176,75 177,64 177,75 178,64 178,75 179,64 179,75 180,64 180,75 181,64 181,75 182,64 182,75 183,64 183,75 184,64 184,75 185,64 185,75 186,64 186,75 187,64 187,75 176,65 187,65 176,66 187,66 176,67 187,67 176,68 187,68 176,69 187,69 176,70 187,70 176,71 187,71 176,72 187,72 176,73 187,73 176,74 187,74
192,64 192,75 193,64 193,75 194,64 194,75 195,64 195,75 196,64 196,75 197,64 197,75 198,64 198,75 199,64 199,75 200,64 200,75 201,64 201,75 202,64 202,75 203,64 203,75 192,65 203,65 192,66 203,66 192,67 203,67 192,68 203,68 192,69 203,69 192,70 203,70 192,71 203,71 192,72 203,72 192,73 203,73 192,74 203,74
208,64 208,75 209,64 209,75 210,64 210,75 211,64 211,75 212,64 212,75 213,64 213,75 214,64 214,75 215,64 215,75 216,64 216,75 217,64 217,75 218,64 218,75 219,64 219,75 208,65 219,65 208,66 219,66 208,67 219,67 208,68 219,68 208,69 219,69 208,70 219,70 208,71 219,71 208,72 219,72 208,73 219,73 208,74 219,74
224,64 224,75 225,64 225,75 226,64 226,75 227,64 227,75 228,64 228,75 229,64 229,75 230,64 230,75 231,64 231,75 232,64 232,75 233,64 233,75 234,64 234,75 235,64 235,75 224,65 235,65 224,66 235,66 224,67 235,67 224,68 235,68 224,69 235,69 224,70 235,70 224,71 235,71 224,72 235,72 224,73 235,73 224,74 235,74
240,64 240,75 241,64 241,75 242,64 242,75 243,64 243,75 244,64 244,75 245,64 245,75 246,64 246,75 247,64 247,75 248,64 248,75 249,64 249,75 250,64 250,75 251,64 251,75 240,65 251,65 240,66 251,66 240,67 251,67 240,68 251,68 240,69 251,69 240,70 251,70 240,71 251,71 240,72 251,72 240,73 251,73 240,74 251,74
256,64 256,75 257,64 257,75 258,64 258,75 259,64 259,75 260,64 260,75 261,64 261,75 262,64 262,75 263,64 263,75 264,64 264,75 265,64 265,75 266,64 266,75 267,64 267,75 256,65 267,65 256,66 267,66 256,67 267,67 256,68 267,68 256,69 267,69 256,70 267,70 256,71 267,71 256,72 267,72 256,73 267,73 256,74 267,74
272,64 272,75 273,64 273,75 274,64 274,75 275,64 275,75 276,64 276,75 277,64 277,75 278,64 278,75 279,64 279,75 280,64 280,75 281,64 281,75 282,64 282,75 283,64 283,75 272,65 283,65 272,66 283,66 272,67 283,67 272,68 283,68 272,69 283,69 272,70 283,70 272,71 283,71 272,72 283,72 272,73 283,73 272,74 283,74
