8,8 8,107 9,8 9,107 10,8 10,107 11,8 11,107 12,8 12,107 13,8 13,107 14,8 14,107 15,8 15,107 16,8 16,107 17,8 17,107 18,8 18,107 19,8 19,107 8,9 19,9 8,10 19,10 8,11 19,11 8,12 19,12 8,13 19,13 8,14 19,14 8,15 19,15 8,16 19,16 8,17 19,17 8,18 19,18 8,19 19,19 8,20 19,20 8,21 19,21 8,22 19,22 8,23 19,23 8,24 19,24 8,25 19,25 8,26 19,26 8,27 19,27 8,28 19,28 8,29 19,29 8,30 19,30 8,31 19,31 8,32 19,32 8,33 19,33 8,34 19,34 8,35 19,35 8,36 19,36 8,37 19,37 8,38 19,38 8,39 19,39 8,40 19,40 8,41 19,41 8,42 19,42 8,43 19,43 8,44 19,44 8,45 19,45 8,46 19,46 8,47 19,47 8,48 19,48 8,49 19,49 8,50 19,50 8,51 19,51 8,52 19,52 8,53 19,53 8,54 19,54 8,55 19,55 8,56 19,56 8,57 19,57 8,58 19,58 8,59 19,59 8,60 19,60 8,61 19,61 8,62 19,62 8,63 19,63 8,64 19,64 8,65 19,65 8,66 19,66 8,67 19,67 8,68 19,68 8,69 19,69 8,70 19,70 8,71 19,71 8,72 19,72 8,73 19,73 8,74 19,74 8,75 19,75 8,76 19,76 8,77 19,77 8,78 19,78 8,79 19,79 8,80 19,80 8,81 19,81 8,82 19,82 8,83 19,83 8,84 19,84 8,85 19,85 8,86 19,86 8,87 19,87 8,88 19,88 8,89 19,89 8,90 19,90 8,91 19,91 8,92 19,92 8,93 19,93 8,94 19,94 8,95 19,95 8,96 19,96 8,97 19,97 8,98 19,98 8,99 19,99 8,100 19,100 8,101 19,101 8,102 19,102 8,103 19,103 8,104 19,104 8,105 19,105 8,106 19,106
26,8 26,107 27,8 27,107 28,8 28,107 29,8 29,107 30,8 30,107 31,8 31,107 32,8 32,107 33,8 33,107 34,8 34,107 35,8 35,107 36,8 36,107 37,8 37,107 26,9 37,9 26,10 37,10 26,11 37,11 26,12 37,12 26,13 37,13 26,14 37,14 26,15 37,15 26,16 37,16 26,17 37,17 26,18 37,18 26,19 37,19 26,20 37,20 26,21 37,21 26,22 37,22 26,23 37,23 26,24 37,24 26,25 37,25 26,26 37,26 26,27 37,27 26,28 37,28 26,29 37,29 26,30 37,30 26,31 37,31 26,32 37,32 26,33 37,33 26,34 37,34 26,35 37,35 26,36 37,36 26,37 37,37 26,38 37,38 26,39 37,39 26,40 37,40 26,41 37,41 26,42 37,42 26,43 37,43 26,44 37,44 26,45 37,45 26,46 37,46 26,47 37,47 26,48 37,48 26,49 37,49 26,50 37,50 26,51 37,51 26,52 37,52 26,53 37,53 26,54 37,54 26,55 37,55 26,56 37,56 26,57 37,57 26,58 37,58 26,59 37,59 26,60 37,60 26,61 37,61 26,62 37,62 26,63 37,63 26,64 37,64 26,65 37,65 26,66 37,66 26,67 37,67 26,68 37,68 26,69 37,69 26,70 37,70 26,71 37,71 26,72 37,72 26,73 37,73 26,74 37,74 26,75 37,75 26,76 37,76 26,77 37,77 26,78 37,78 26,79 37,79 26,80 37,80 26,81 37,81 26,82 37,82 26,83 37,83 26,84 37,84 26,85 37,85 26,86 37,86 26,87 37,87 26,88 37,88 26,89 37,89 26,90 37,90 26,91 37,91 26,92 37,92 26,93 37,93 26,94 37,94 26,95 37,95 26,96 37,96 26,97 37,97 26,98 37,98 26,99 37,99 26,100 37,100 26,101 37,101 26,102 37,102 26,103 37,103 26,104 37,104 26,105 37,105 26,106 37,106
44,8 44,107 45,8 45,107 46,8 46,107 47,8 47,107 48,8 48,107 49,8 49,107 50,8 50,107 51,8 51,107 52,8 52,107 53,8 53,107 54,8 54,107 55,8 55,107 44,9 55,9 44,10 55,10 44,11 55,11 44,12 55,12 44,13 55,13 44,14 55,14 44,15 55,15 44,16 55,16 44,17 55,17 44,18 55,18 44,19 55,19 44,20 55,20 44,21 55,21 44,22 55,22 44,23 55,23 44,24 55,24 44,25 55,25 44,26 55,26 44,27 55,27 44,28 55,28 44,29 55,29 44,30 55,30 44,31 55,31 44,32 55,32 44,33 55,33 44,34 55,34 44,35 55,35 44,36 55,36 44,37 55,37 44,38 55,38 44,39 55,39 44,40 55,40 44,41 55,41 44,42 55,42 44,43 55,43 44,44 55,44 44,45 55,45 44,46 55,46 44,47 55,47 44,48 55,48 44,49 55,49 44,50 55,50 44,51 55,51 44,52 55,52 44,53 55,53 44,54 55,54 44,55 55,55 44,56 55,56 44,57 55,57 44,58 55,58 44,59 55,59 44,60 55,60 44,61 55,61 44,62 55,62 44,63 55,63 44,64 55,64 44,65 55,65 44,66 55,66 44,67 55,67 44,68 55,68 44,69 55,69 44,70 55,70 44,71 55,71 44,72 55,72 44,73 55,73 44,74 55,74 44,75 55,75 44,76 55,76 44,77 55,77 44,78 55,78 44,79 55,79 44,80 55,80 44,81 55,81 44,82 55,82 44,83 55,83 44,84 55,84 44,85 55,85 44,86 55,86 44,87 55,87 44,88 55,88 44,89 55,89 44,90 55,90 44,91 55,91 44,92 55,92 44,93 55,93 44,94 55,94 44,95 55,95 44,96 55,96 44,97 55,97 44,98 55,98 44,99 55,99 44,100 55,100 44,101 55,101 44,102 55,102 44,103 55,103 44,104 55,104 44,105 55,105 44,106 55,106
62,8 62,107 63,8 63,107 64,8 64,107 65,8 65,107 66,8 66,107 67,8 67,107 68,8 68,107 69,8 69,107 70,8 70,107 71,8 71,107 72,8 72,107 73,8 73,107 62,9 73,9 62,10 73,10 62,11 73,11 62,12 73,12 62,13 73,13 62,14 73,14 62,15 73,15 62,16 73,16 62,17 73,17 62,18 73,18 62,19 73,19 62,20 73,20 62,21 73,21 62,22 73,22 62,23 73,23 62,24 73,24 62,25 73,25 62,26 73,26 62,27 73,27 62,28 73,28 62,29 73,29 62,30 73,30 62,31 73,31 62,32 73,32 62,33 73,33 62,34 73,34 62,35 73,35 62,36 73,36 62,37 73,37 62,38 73,38 62,39 73,39 62,40 73,40 62,41 73,41 62,42 73,42 62,43 73,43 62,44 73,44 62,45 73,45 62,46 73,46 62,47 73,47 62,48 73,48 62,49 73,49 62,50 73,50 62,51 73,51 62,52 73,52 62,53 73,53 62,54 73,54 62,55 73,55 62,56 73,56 62,57 73,57 62,58 73,58 62,59 73,59 62,60 73,60 62,61 73,61 62,62 73,62 62,63 73,63 62,64 73,64 62,65 73,65 62,66 73,66 62,67 73,67 62,68 73,68 62,69 73,69 62,70 73,70 62,71 73,71 62,72 73,72 62,73 73,73 62,74 73,74 62,75 73,75 62,76 73,76 62,77 73,77 62,78 73,78 62,79 73,79 62,80 73,80 62,81 73,81 62,82 73,82 62,83 73,83 62,84 73,84 62,85 73,85 62,86 73,86 62,87 73,87 62,88 73,88 62,89 73,89 62,90 73,90 62,91 73,91 62,92 73,92 62,93 73,93 62,94 73,94 62,95 73,95 62,96 73,96 62,97 73,97 62,98 73,98 62,99 73,99 62,100 73,100 62,101 73,101 62,102 73,102 62,103 73,103 62,104 73,104 62,105 73,105 62,106 73,106
80,8 80,107 81,8 81,107 82,8 82,107 83,8 83,107 84,8 84,107 85,8 85,107 86,8 86,107 87,8 87,107 88,8 88,107 89,8 89,107 90,8 90,107 91,8 91,107 80,9 91,9 80,10 91,10 80,11 91,11 80,12 91,12 80,13 91,13 80,14 91,14 80,15 91,15 80,16 91,16 80,17 91,17 80,18 91,18 80,19 91,19 80,20 91,20 80,21 91,21 80,22 91,22 80,23 91,23 80,24 91,24 80,25 91,25 80,26 91,26 80,27 91,27 80,28 91,28 80,29 91,29 80,30 91,30 80,31 91,31 80,32 91,32 80,33 91,33 80,34 91,34 80,35 91,35 80,36 91,36 80,37 91,37 80,38 91,38 80,39 91,39 80,40 91,40 80,41 91,41 80,42 91,42 80,43 91,43 80,44 91,44 80,45 91,45 80,46 91,46 80,47 91,47 80,48 91,48 80,49 91,49 80,50 91,50 80,51 91,51 80,52 91,52 80,53 91,53 80,54 91,54 80,55 91,55 80,56 91,56 80,57 91,57 80,58 91,58 80,59 91,59 80,60 91,60 80,61 91,61 80,62 91,62 80,63 91,63 80,64 91,64 80,65 91,65 80,66 91,66 80,67 91,67 80,68 91,68 80,69 91,69 80,70 91,70 80,71 91,71 80,72 91,72 80,73 91,73 80,74 91,74 80,75 91,75 80,76 91,76 80,77 91,77 80,78 91,78 80,79 91,79 80,80 91,80 80,81 91,81 80,82 91,82 80,83 91,83 80,84 91,84 80,85 91,85 80,86 91,86 80,87 91,87 80,88 91,88 80,89 91,89 80,90 91,90 80,91 91,91 80,92 91,92 80,93 91,93 80,94 91,94 80,95 91,95 80,96 91,96 80,97 91,97 80,98 91,98 80,99 91,99 80,100 91,100 80,101 91,101 80,102 91,102 80,103 91,103 80,104 91,104 80,105 91,105 80,106 91,106
98,8 98,107 99,8 99,107 100,8 100,107 101,8 101,107 102,8 102,107 103,8 103,107 104,8 104,107 105,8 105,107 106,8 106,107 107,8 107,107 108,8 108,107 109,8 109,107 98,9 109,9 98,10 109,10 98,11 109,11 98,12 109,12 98,13 109,13 98,14 109,14 98,15 109,15 98,16 109,16 98,17 109,17 98,18 109,18 98,19 109,19 98,20 109,20 98,21 109,21 98,22 109,22 98,23 109,23 98,24 109,24 98,25 109,25 98,26 109,26 98,27 109,27 98,28 109,28 98,29 109,29 98,30 109,30 98,31 109,31 98,32 109,32 98,33 109,33 98,34 109,34 98,35 109,35 98,36 109,36 98,37 109,37 98,38 109,38 98,39 109,39 98,40 109,40 98,41 109,41 98,42 109,42 98,43 109,43 98,44 109,44 98,45 109,45 98,46 109,46 98,47 109,47 98,48 109,48 98,49 109,49 98,50 109,50 98,51 109,51 98,52 109,52 98,53 109,53 98,54 109,54 98,55 109,55 98,56 109,56 98,57 109,57 98,58 109,58 98,59 109,59 98,60 109,60 98,61 109,61 98,62 109,62 98,63 109,63 98,64 109,64 98,65 109,65 98,66 109,66 98,67 109,67 98,68 109,68 98,69 109,69 98,70 109,70 98,71 109,71 98,72 109,72 98,73 109,73 98,74 109,74 98,75 109,75 98,76 109,76 98,77 109,77 98,78 109,78 98,79 109,79 98,80 109,80 98,81 109,81 98,82 109,82 98,83 109,83 98,84 109,84 98,85 109,85 98,86 109,86 98,87 109,87 98,88 109,88 98,89 109,89 98,90 109,90 98,91 109,91 98,92 109,92 98,93 109,93 98,94 109,94 98,95 109,95 98,96 109,96 98,97 109,97 98,98 109,98 98,99 109,99 98,100 109,100 98,101 109,101 98,102 109,102 98,103 109,103 98,104 109,104 98,105 109,105 98,106 109,106
116,8 116,107 117,8 117,107 118,8 118,107 119,8 119,107 120,8 120,107 121,8 121,107 122,8 122,107 123,8 123,107 124,8 124,107 125,8 125,107 126,8 126,107 127,8 127,107 116,9 127,9 116,10 127,10 116,11 127,11 116,12 127,12 116,13 127,13 116,14 127,14 116,15 127,15 116,16 127,16 116,17 127,17 116,18 127,18 116,19 127,19 116,20 127,20 116,21 127,21 116,22 127,22 116,23 127,23 116,24 127,24 116,25 127,25 116,26 127,26 116,27 127,27 116,28 127,28 116,29 127,29 116,30 127,30 116,31 127,31 116,32 127,32 116,33 127,33 116,34 127,34 116,35 127,35 116,36 127,36 116,37 127,37 116,38 127,38 116,39 127,39 116,40 127,40 116,41 127,41 116,42 127,42 116,43 127,43 116,44 127,44 116,45 127,45 116,46 127,46 116,47 127,47 116,48 127,48 116,49 127,49 116,50 127,50 116,51 127,51 116,52 127,52 116,53 127,53 116,54 127,54 116,55 127,55 116,56 127,56 116,57 127,57 116,58 127,58 116,59 127,59 116,60 127,60 116,61 127,61 116,62 127,62 116,63 127,63 116,64 127,64 116,65 127,65 116,66 127,66 116,67 127,67 116,68 127,68 116,69 127,69 116,70 127,70 116,71 127,71 116,72 127,72 116,73 127,73 116,74 127,74 116,75 127,75 116,76 127,76 116,77 127,77 116,78 127,78 116,79 127,79 116,80 127,80 116,81 127,81 116,82 127,82 116,83 127,83 116,84 127,84 116,85 127,85 116,86 127,86 116,87 127,87 116,88 127,88 116,89 127,89 116,90 127,90 116,91 127,91 116,92 127,92 116,93 127,93 116,94 127,94 116,95 127,95 116,96 127,96 116,97 127,97 116,98 127,98 116,99 127,99 116,100 127,100 116,101 127,101 116,102 127,102 116,103 127,103 116,104 127,104 116,105 127,105 116,106 127,106
134,8 134,107 135,8 135,107 136,8 136,107 137,8 137,107 138,8 138,107 139,8 139,107 140,8 140,107 141,8 141,107 142,8 142,107 143,8 143,107 144,8 144,107 145,8 145,107 134,9 145,9 134,10 145,10 134,11 145,11 134,12 145,12 134,13 145,13 134,14 145,14 134,15 145,15 134,16 145,16 134,17 145,17 134,18 145,18 134,19 145,19 134,20 145,20 134,21 145,21 134,22 145,22 134,23 145,23 134,24 145,24 134,25 145,25 134,26 145,26 134,27 145,27 134,28 145,28 134,29 145,29 134,30 145,30 134,31 145,31 134,32 145,32 134,33 145,33 134,34 145,34 134,35 145,35 134,36 145,36 134,37 145,37 134,38 145,38 134,39 145,39 134,40 145,40 134,41 145,41 134,42 145,42 134,43 145,43 134,44 145,44 134,45 145,45 134,46 145,46 134,47 145,47 134,48 145,48 134,49 145,49 134,50 145,50 134,51 145,51 134,52 145,52 134,53 145,53 134,54 145,54 134,55 145,55 134,56 145,56 134,57 145,57 134,58 145,58 134,59 145,59 134,60 145,60 134,61 145,61 134,62 145,62 134,63 145,63 134,64 145,64 134,65 145,65 134,66 145,66 134,67 145,67 134,68 145,68 134,69 145,69 134,70 145,70 134,71 145,71 134,72 145,72 134,73 145,73 134,74 145,74 134,75 145,75 134,76 145,76 134,77 145,77 134,78 145,78 134,79 145,79 134,80 145,80 134,81 145,81 134,82 145,82 134,83 145,83 134,84 145,84 134,85 145,85 134,86 145,86 134,87 145,87 134,88 145,88 134,89 145,89 134,90 145,90 134,91 145,91 134,92 145,92 134,93 145,93 134,94 145,94 134,95 145,95 134,96 145,96 134,97 145,97 134,98 145,98 134,99 145,99 134,100 145,100 134,101 145,101 134,102 145,102 134,103 145,103 134,104 145,104 134,105 145,105 134,106 145,106
152,8 152,107 153,8 153,107 154,8 154,107 155,8 155,107 156,8 156,107 157,8 157,107 158,8 158,107 159,8 159,107 160,8 160,107 161,8 161,107 162,8 162,107 163,8 163,107 152,9 163,9 152,10 163,10 152,11 163,11 152,12 163,12 152,13 163,13 152,14 163,14 152,15 163,15 152,16 163,16 152,17 163,17 152,18 163,18 152,19 163,19 152,20 163,20 152,21 163,21 152,22 163,22 152,23 163,23 152,24 163,24 152,25 163,25 152,26 163,26 152,27 163,27 152,28 163,28 152,29 163,29 152,30 163,30 152,31 163,31 152,32 163,32 152,33 163,33 152,34 163,34 152,35 163,35 152,36 163,36 152,37 163,37 152,38 163,38 152,39 163,39 152,40 163,40 152,41 163,41 152,42 163,42 152,43 163,43 152,44 163,44 152,45 163,45 152,46 163,46 152,47 163,47 152,48 163,48 152,49 163,49 152,50 163,50 152,51 163,51 152,52 163,52 152,53 163,53 152,54 163,54 152,55 163,55 152,56 163,56 152,57 163,57 152,58 163,58 152,59 163,59 152,60 163,60 152,61 163,61 152,62 163,62 152,63 163,63 152,64 163,64 152,65 163,65 152,66 163,66 152,67 163,67 152,68 163,68 152,69 163,69 152,70 163,70 152,71 163,71 152,72 163,72 152,73 163,73 152,74 163,74 152,75 163,75 152,76 163,76 152,77 163,77 152,78 163,78 152,79 163,79 152,80 163,80 152,81 163,81 152,82 163,82 152,83 163,83 152,84 163,84 152,85 163,85 152,86 163,86 152,87 163,87 152,88 163,88 152,89 163,89 152,90 163,90 152,91 163,91 152,92 163,92 152,93 163,93 152,94 163,94 152,95 163,95 152,96 163,96 152,97 163,97 152,98 163,98 152,99 163,99 152,100 163,100 152,101 163,101 152,102 163,102 152,103 163,103 152,104 163,104 152,105 163,105 152,106 163,106
170,8 170,107 171,8 171,107 172,8 172,107 173,8 173,107 174,8 174,107 175,8 175,107 176,8 176,107 177,8 177,107 178,8 178,107 179,8 179,107 180,8 180,107 181,8 181,107 170,9 181,9 170,10 181,10 170,11 181,11 170,12 181,12 170,13 181,13 170,14 181,14 170,15 181,15 170,16 181,16 170,17 181,17 170,18 181,18 170,19 181,19 170,20 181,20 170,21 181,21 170,22 181,22 170,23 181,23 170,24 181,24 170,25 181,25 170,26 181,26 170,27 181,27 170,28 181,28 170,29 181,29 170,30 181,30 170,31 181,31 170,32 181,32 170,33 181,33 170,34 181,34 170,35 181,35 170,36 181,36 170,37 181,37 170,38 181,38 170,39 181,39 170,40 181,40 170,41 181,41 170,42 181,42 170,43 181,43 170,44 181,44 170,45 181,45 170,46 181,46 170,47 181,47 170,48 181,48 170,49 181,49 170,50 181,50 170,51 181,51 170,52 181,52 170,53 181,53 170,54 181,54 170,55 181,55 170,56 181,56 170,57 181,57 170,58 181,58 170,59 181,59 170,60 181,60 170,61 181,61 170,62 181,62 170,63 181,63 170,64 181,64 170,65 181,65 170,66 181,66 170,67 181,67 170,68 181,68 170,69 181,69 170,70 181,70 170,71 181,71 170,72 181,72 170,73 181,73 170,74 181,74 170,75 181,75 170,76 181,76 170,77 181,77 170,78 181,78 170,79 181,79 170,80 181,80 170,81 181,81 170,82 181,82 170,83 181,83 170,84 181,84 170,85 181,85 170,86 181,86 170,87 181,87 170,88 181,88 170,89 181,89 170,90 181,90 170,91 181,91 170,92 181,92 170,93 181,93 170,94 181,94 170,95 181,95 170,96 181,96 170,97 181,97 170,98 181,98 170,99 181,99 170,100 181,100 170,101 181,101 170,102 181,102 170,103 181,103 170,104 181,104 170,105 181,105 170,106 181,106
