8,8 8,107 9,8 9,107 10,8 10,107 11,8 11,107 12,8 12,107 13,8 13,107 14,8 14,107 15,8 15,107 16,8 16,107 17,8 17,107 18,8 18,107 19,8 19,107 20,8 20,107 21,8 21,107 22,8 22,107 23,8 23,107 24,8 24,107 25,8 25,107 26,8 26,107 27,8 27,107 28,8 28,107 29,8 29,107 8,9 29,9 8,10 29,10 8,11 29,11 8,12 29,12 8,13 29,13 8,14 29,14 8,15 29,15 8,16 29,16 8,17 29,17 8,18 29,18 8,19 29,19 8,20 29,20 8,21 29,21 8,22 29,22 8,23 29,23 8,24 29,24 8,25 29,25 8,26 29,26 8,27 29,27 8,28 29,28 8,29 29,29 8,30 29,30 8,31 29,31 8,32 29,32 8,33 29,33 8,34 29,34 8,35 29,35 8,36 29,36 8,37 29,37 8,38 29,38 8,39 29,39 8,40 29,40 8,41 29,41 8,42 29,42 8,43 29,43 8,44 29,44 8,45 29,45 8,46 29,46 8,47 29,47 8,48 29,48 8,49 29,49 8,50 29,50 8,51 29,51 8,52 29,52 8,53 29,53 8,54 29,54 8,55 29,55 8,56 29,56 8,57 29,57 8,58 29,58 8,59 29,59 8,60 29,60 8,61 29,61 8,62 29,62 8,63 29,63 8,64 29,64 8,65 29,65 8,66 29,66 8,67 29,67 8,68 29,68 8,69 29,69 8,70 29,70 8,71 29,71 8,72 29,72 8,73 29,73 8,74 29,74 8,75 29,75 8,76 29,76 8,77 29,77 8,78 29,78 8,79 29,79 8,80 29,80 8,81 29,81 8,82 29,82 8,83 29,83 8,84 29,84 8,85 29,85 8,86 29,86 8,87 29,87 8,88 29,88 8,89 29,89 8,90 29,90 8,91 29,91 8,92 29,92 8,93 29,93 8,94 29,94 8,95 29,95 8,96 29,96 8,97 29,97 8,98 29,98 8,99 29,99 8,100 29,100 8,101 29,101 8,102 29,102 8,103 29,103 8,104 29,104 8,105 29,105 8,106 29,106
36,8 36,107 37,8 37,107 38,8 38,107 39,8 39,107 40,8 40,107 41,8 41,107 42,8 42,107 43,8 43,107 44,8 44,107 45,8 45,107 46,8 46,107 47,8 47,107 48,8 48,107 49,8 49,107 50,8 50,107 51,8 51,107 52,8 52,107 53,8 53,107 54,8 54,107 55,8 55,107 56,8 56,107 57,8 57,107 36,9 57,9 36,10 57,10 36,11 57,11 36,12 57,12 36,13 57,13 36,14 57,14 36,15 57,15 36,16 57,16 36,17 57,17 36,18 57,18 36,19 57,19 36,20 57,20 36,21 57,21 36,22 57,22 36,23 57,23 36,24 57,24 36,25 57,25 36,26 57,26 36,27 57,27 36,28 57,28 36,29 57,29 36,30 57,30 36,31 57,31 36,32 57,32 36,33 57,33 36,34 57,34 36,35 57,35 36,36 57,36 36,37 57,37 36,38 57,38 36,39 57,39 36,40 57,40 36,41 57,41 36,42 57,42 36,43 57,43 36,44 57,44 36,45 57,45 36,46 57,46 36,47 57,47 36,48 57,48 36,49 57,49 36,50 57,50 36,51 57,51 36,52 57,52 36,53 57,53 36,54 57,54 36,55 57,55 36,56 57,56 36,57 57,57 36,58 57,58 36,59 57,59 36,60 57,60 36,61 57,61 36,62 57,62 36,63 57,63 36,64 57,64 36,65 57,65 36,66 57,66 36,67 57,67 36,68 57,68 36,69 57,69 36,70 57,70 36,71 57,71 36,72 57,72 36,73 57,73 36,74 57,74 36,75 57,75 36,76 57,76 36,77 57,77 36,78 57,78 36,79 57,79 36,80 57,80 36,81 57,81 36,82 57,82 36,83 57,83 36,84 57,84 36,85 57,85 36,86 57,86 36,87 57,87 36,88 57,88 36,89 57,89 36,90 57,90 36,91 57,91 36,92 57,92 36,93 57,93 36,94 57,94 36,95 57,95 36,96 57,96 36,97 57,97 36,98 57,98 36,99 57,99 36,100 57,100 36,101 57,101 36,102 57,102 36,103 57,103 36,104 57,104 36,105 57,105 36,106 57,106
64,8 64,107 65,8 65,107 66,8 66,107 67,8 67,107 68,8 68,107 69,8 69,107 70,8 70,107 71,8 71,107 72,8 72,107 73,8 73,107 74,8 74,107 75,8 75,107 76,8 76,107 77,8 77,107 78,8 78,107 79,8 79,107 80,8 80,107 81,8 81,107 82,8 82,107 83,8 83,107 84,8 84,107 85,8 85,107 64,9 85,9 64,10 85,10 64,11 85,11 64,12 85,12 64,13 85,13 64,14 85,14 64,15 85,15 64,16 85,16 64,17 85,17 64,18 85,18 64,19 85,19 64,20 85,20 64,21 85,21 64,22 85,22 64,23 85,23 64,24 85,24 64,25 85,25 64,26 85,26 64,27 85,27 64,28 85,28 64,29 85,29 64,30 85,30 64,31 85,31 64,32 85,32 64,33 85,33 64,34 85,34 64,35 85,35 64,36 85,36 64,37 85,37 64,38 85,38 64,39 85,39 64,40 85,40 64,41 85,41 64,42 85,42 64,43 85,43 64,44 85,44 64,45 85,45 64,46 85,46 64,47 85,47 64,48 85,48 64,49 85,49 64,50 85,50 64,51 85,51 64,52 85,52 64,53 85,53 64,54 85,54 64,55 85,55 64,56 85,56 64,57 85,57 64,58 85,58 64,59 85,59 64,60 85,60 64,61 85,61 64,62 85,62 64,63 85,63 64,64 85,64 64,65 85,65 64,66 85,66 64,67 85,67 64,68 85,68 64,69 85,69 64,70 85,70 64,71 85,71 64,72 85,72 64,73 85,73 64,74 85,74 64,75 85,75 64,76 85,76 64,77 85,77 64,78 85,78 64,79 85,79 64,80 85,80 64,81 85,81 64,82 85,82 64,83 85,83 64,84 85,84 64,85 85,85 64,86 85,86 64,87 85,87 64,88 85,88 64,89 85,89 64,90 85,90 64,91 85,91 64,92 85,92 64,93 85,93 64,94 85,94 64,95 85,95 64,96 85,96 64,97 85,97 64,98 85,98 64,99 85,99 64,100 85,100 64,101 85,101 64,102 85,102 64,103 85,103 64,104 85,104 64,105 85,105 64,106 85,106
92,8 92,107 93,8 93,107 94,8 94,107 95,8 95,107 96,8 96,107 97,8 97,107 98,8 98,107 99,8 99,107 100,8 100,107 101,8 101,107 102,8 102,107 103,8 103,107 104,8 104,107 105,8 105,107 106,8 106,107 107,8 107,107 108,8 108,107 109,8 109,107 110,8 110,107 111,8 111,107 112,8 112,107 113,8 113,107 92,9 113,9 92,10 113,10 92,11 113,11 92,12 113,12 92,13 113,13 92,14 113,14 92,15 113,15 92,16 113,16 92,17 113,17 92,18 113,18 92,19 113,19 92,20 113,20 92,21 113,21 92,22 113,22 92,23 113,23 92,24 113,24 92,25 113,25 92,26 113,26 92,27 113,27 92,28 113,28 92,29 113,29 92,30 113,30 92,31 113,31 92,32 113,32 92,33 113,33 92,34 113,34 92,35 113,35 92,36 113,36 92,37 113,37 92,38 113,38 92,39 113,39 92,40 113,40 92,41 113,41 92,42 113,42 92,43 113,43 92,44 113,44 92,45 113,45 92,46 113,46 92,47 113,47 92,48 113,48 92,49 113,49 92,50 113,50 92,51 113,51 92,52 113,52 92,53 113,53 92,54 113,54 92,55 113,55 92,56 113,56 92,57 113,57 92,58 113,58 92,59 113,59 92,60 113,60 92,61 113,61 92,62 113,62 92,63 113,63 92,64 113,64 92,65 113,65 92,66 113,66 92,67 113,67 92,68 113,68 92,69 113,69 92,70 113,70 92,71 113,71 92,72 113,72 92,73 113,73 92,74 113,74 92,75 113,75 92,76 113,76 92,77 113,77 92,78 113,78 92,79 113,79 92,80 113,80 92,81 113,81 92,82 113,82 92,83 113,83 92,84 113,84 92,85 113,85 92,86 113,86 92,87 113,87 92,88 113,88 92,89 113,89 92,90 113,90 92,91 113,91 92,92 113,92 92,93 113,93 92,94 113,94 92,95 113,95 92,96 113,96 92,97 113,97 92,98 113,98 92,99 113,99 92,100 113,100 92,101 113,101 92,102 113,102 92,103 113,103 92,104 113,104 92,105 113,105 92,106 113,106
120,8 120,107 121,8 121,107 122,8 122,107 123,8 123,107 124,8 124,107 125,8 125,107 126,8 126,107 127,8 127,107 128,8 128,107 129,8 129,107 130,8 130,107 131,8 131,107 132,8 132,107 133,8 133,107 134,8 134,107 135,8 135,107 136,8 136,107 137,8 137,107 138,8 138,107 139,8 139,107 140,8 140,107 141,8 141,107 120,9 141,9 120,10 141,10 120,11 141,11 120,12 141,12 120,13 141,13 120,14 141,14 120,15 141,15 120,16 141,16 120,17 141,17 120,18 141,18 120,19 141,19 120,20 141,20 120,21 141,21 120,22 141,22 120,23 141,23 120,24 141,24 120,25 141,25 120,26 141,26 120,27 141,27 120,28 141,28 120,29 141,29 120,30 141,30 120,31 141,31 120,32 141,32 120,33 141,33 120,34 141,34 120,35 141,35 120,36 141,36 120,37 141,37 120,38 141,38 120,39 141,39 120,40 141,40 120,41 141,41 120,42 141,42 120,43 141,43 120,44 141,44 120,45 141,45 120,46 141,46 120,47 141,47 120,48 141,48 120,49 141,49 120,50 141,50 120,51 141,51 120,52 141,52 120,53 141,53 120,54 141,54 120,55 141,55 120,56 141,56 120,57 141,57 120,58 141,58 120,59 141,59 120,60 141,60 120,61 141,61 120,62 141,62 120,63 141,63 120,64 141,64 120,65 141,65 120,66 141,66 120,67 141,67 120,68 141,68 120,69 141,69 120,70 141,70 120,71 141,71 120,72 141,72 120,73 141,73 120,74 141,74 120,75 141,75 120,76 141,76 120,77 141,77 120,78 141,78 120,79 141,79 120,80 141,80 120,81 141,81 120,82 141,82 120,83 141,83 120,84 141,84 120,85 141,85 120,86 141,86 120,87 141,87 120,88 141,88 120,89 141,89 120,90 141,90 120,91 141,91 120,92 141,92 120,93 141,93 120,94 141,94 120,95 141,95 120,96 141,96 120,97 141,97 120,98 141,98 120,99 141,99 120,100 141,100 120,101 141,101 120,102 141,102 120,103 141,103 120,104 141,104 120,105 141,105 120,106 141,106
148,8 148,107 149,8 149,107 150,8 150,107 151,8 151,107 152,8 152,107 153,8 153,107 154,8 154,107 155,8 155,107 156,8 156,107 157,8 157,107 158,8 158,107 159,8 159,107 160,8 160,107 161,8 161,107 162,8 162,107 163,8 163,107 164,8 164,107 165,8 165,107 166,8 166,107 167,8 167,107 168,8 168,107 169,8 169,107 148,9 169,9 148,10 169,10 148,11 169,11 148,12 169,12 148,13 169,13 148,14 169,14 148,15 169,15 148,16 169,16 148,17 169,17 148,18 169,18 148,19 169,19 148,20 169,20 148,21 169,21 148,22 169,22 148,23 169,23 148,24 169,24 148,25 169,25 148,26 169,26 148,27 169,27 148,28 169,28 148,29 169,29 148,30 169,30 148,31 169,31 148,32 169,32 148,33 169,33 148,34 169,34 148,35 169,35 148,36 169,36 148,37 169,37 148,38 169,38 148,39 169,39 148,40 169,40 148,41 169,41 148,42 169,42 148,43 169,43 148,44 169,44 148,45 169,45 148,46 169,46 148,47 169,47 148,48 169,48 148,49 169,49 148,50 169,50 148,51 169,51 148,52 169,52 148,53 169,53 148,54 169,54 148,55 169,55 148,56 169,56 148,57 169,57 148,58 169,58 148,59 169,59 148,60 169,60 148,61 169,61 148,62 169,62 148,63 169,63 148,64 169,64 148,65 169,65 148,66 169,66 148,67 169,67 148,68 169,68 148,69 169,69 148,70 169,70 148,71 169,71 148,72 169,72 148,73 169,73 148,74 169,74 148,75 169,75 148,76 169,76 148,77 169,77 148,78 169,78 148,79 169,79 148,80 169,80 148,81 169,81 148,82 169,82 148,83 169,83 148,84 169,84 148,85 169,85 148,86 169,86 148,87 169,87 148,88 169,88 148,89 169,89 148,90 169,90 148,91 169,91 148,92 169,92 148,93 169,93 148,94 169,94 148,95 169,95 148,96 169,96 148,97 169,97 148,98 169,98 148,99 169,99 148,100 169,100 148,101 169,101 148,102 169,102 148,103 169,103 148,104 169,104 148,105 169,105 148,106 169,106
176,8 176,107 177,8 177,107 178,8 178,107 179,8 179,107 180,8 180,107 181,8 181,107 182,8 182,107 183,8 183,107 184,8 184,107 185,8 185,107 186,8 186,107 187,8 187,107 188,8 188,107 189,8 189,107 190,8 190,107 191,8 191,107 192,8 192,107 193,8 193,107 194,8 194,107 195,8 195,107 196,8 196,107 197,8 197,107 176,9 197,9 176,10 197,10 176,11 197,11 176,12 197,12 176,13 197,13 176,14 197,14 176,15 197,15 176,16 197,16 176,17 197,17 176,18 197,18 176,19 197,19 176,20 197,20 176,21 197,21 176,22 197,22 176,23 197,23 176,24 197,24 176,25 197,25 176,26 197,26 176,27 197,27 176,28 197,28 176,29 197,29 176,30 197,30 176,31 197,31 176,32 197,32 176,33 197,33 176,34 197,34 176,35 197,35 176,36 197,36 176,37 197,37 176,38 197,38 176,39 197,39 176,40 197,40 176,41 197,41 176,42 197,42 176,43 197,43 176,44 197,44 176,45 197,45 176,46 197,46 176,47 197,47 176,48 197,48 176,49 197,49 176,50 197,50 176,51 197,51 176,52 197,52 176,53 197,53 176,54 197,54 176,55 197,55 176,56 197,56 176,57 197,57 176,58 197,58 176,59 197,59 176,60 197,60 176,61 197,61 176,62 197,62 176,63 197,63 176,64 197,64 176,65 197,65 176,66 197,66 176,67 197,67 176,68 197,68 176,69 197,69 176,70 197,70 176,71 197,71 176,72 197,72 176,73 197,73 176,74 197,74 176,75 197,75 176,76 197,76 176,77 197,77 176,78 197,78 176,79 197,79 176,80 197,80 176,81 197,81 176,82 197,82 176,83 197,83 176,84 197,84 176,85 197,85 176,86 197,86 176,87 197,87 176,88 197,88 176,89 197,89 176,90 197,90 176,91 197,91 176,92 197,92 176,93 197,93 176,94 197,94 176,95 197,95 176,96 197,96 176,97 197,97 176,98 197,98 176,99 197,99 176,100 197,100 176,101 197,101 176,102 197,102 176,103 197,103 176,104 197,104 176,105 197,105 176,106 197,106
204,8 204,107 205,8 205,107 206,8 206,107 207,8 207,107 208,8 208,107 209,8 209,107 210,8 210,107 211,8 211,107 212,8 212,107 213,8 213,107 214,8 214,107 215,8 215,107 216,8 216,107 217,8 217,107 218,8 218,107 219,8 219,107 220,8 220,107 221,8 221,107 222,8 222,107 223,8 223,107 224,8 224,107 225,8 225,107 204,9 225,9 204,10 225,10 204,11 225,11 204,12 225,12 204,13 225,13 204,14 225,14 204,15 225,15 204,16 225,16 204,17 225,17 204,18 225,18 204,19 225,19 204,20 225,20 204,21 225,21 204,22 225,22 204,23 225,23 204,24 225,24 204,25 225,25 204,26 225,26 204,27 225,27 204,28 225,28 204,29 225,29 204,30 225,30 204,31 225,31 204,32 225,32 204,33 225,33 204,34 225,34 204,35 225,35 204,36 225,36 204,37 225,37 204,38 225,38 204,39 225,39 204,40 225,40 204,41 225,41 204,42 225,42 204,43 225,43 204,44 225,44 204,45 225,45 204,46 225,46 204,47 225,47 204,48 225,48 204,49 225,49 204,50 225,50 204,51 225,51 204,52 225,52 204,53 225,53 204,54 225,54 204,55 225,55 204,56 225,56 204,57 225,57 204,58 225,58 204,59 225,59 204,60 225,60 204,61 225,61 204,62 225,62 204,63 225,63 204,64 225,64 204,65 225,65 204,66 225,66 204,67 225,67 204,68 225,68 204,69 225,69 204,70 225,70 204,71 225,71 204,72 225,72 204,73 225,73 204,74 225,74 204,75 225,75 204,76 225,76 204,77 225,77 204,78 225,78 204,79 225,79 204,80 225,80 204,81 225,81 204,82 225,82 204,83 225,83 204,84 225,84 204,85 225,85 204,86 225,86 204,87 225,87 204,88 225,88 204,89 225,89 204,90 225,90 204,91 225,91 204,92 225,92 204,93 225,93 204,94 225,94 204,95 225,95 204,96 225,96 204,97 225,97 204,98 225,98 204,99 225,99 204,100 225,100 204,101 225,101 204,102 225,102 204,103 225,103 204,104 225,104 204,105 225,105 204,106 225,106
232,8 232,107 233,8 233,107 234,8 234,107 235,8 235,107 236,8 236,107 237,8 237,107 238,8 238,107 239,8 239,107 240,8 240,107 241,8 241,107 242,8 242,107 243,8 243,107 244,8 244,107 245,8 245,107 246,8 246,107 247,8 247,107 248,8 248,107 249,8 249,107 250,8 250,107 251,8 251,107 252,8 252,107 253,8 253,107 232,9 253,9 232,10 253,10 232,11 253,11 232,12 253,12 232,13 253,13 232,14 253,14 232,15 253,15 232,16 253,16 232,17 253,17 232,18 253,18 232,19 253,19 232,20 253,20 232,21 253,21 232,22 253,22 232,23 253,23 232,24 253,24 232,25 253,25 232,26 253,26 232,27 253,27 232,28 253,28 232,29 253,29 232,30 253,30 232,31 253,31 232,32 253,32 232,33 253,33 232,34 253,34 232,35 253,35 232,36 253,36 232,37 253,37 232,38 253,38 232,39 253,39 232,40 253,40 232,41 253,41 232,42 253,42 232,43 253,43 232,44 253,44 232,45 253,45 232,46 253,46 232,47 253,47 232,48 253,48 232,49 253,49 232,50 253,50 232,51 253,51 232,52 253,52 232,53 253,53 232,54 253,54 232,55 253,55 232,56 253,56 232,57 253,57 232,58 253,58 232,59 253,59 232,60 253,60 232,61 253,61 232,62 253,62 232,63 253,63 232,64 253,64 232,65 253,65 232,66 253,66 232,67 253,67 232,68 253,68 232,69 253,69 232,70 253,70 232,71 253,71 232,72 253,72 232,73 253,73 232,74 253,74 232,75 253,75 232,76 253,76 232,77 253,77 232,78 253,78 232,79 253,79 232,80 253,80 232,81 253,81 232,82 253,82 232,83 253,83 232,84 253,84 232,85 253,85 232,86 253,86 232,87 253,87 232,88 253,88 232,89 253,89 232,90 253,90 232,91 253,91 232,92 253,92 232,93 253,93 232,94 253,94 232,95 253,95 232,96 253,96 232,97 253,97 232,98 253,98 232,99 253,99 232,100 253,100 232,101 253,101 232,102 253,102 232,103 253,103 232,104 253,104 232,105 253,105 232,106 253,106
260,8 260,107 261,8 261,107 262,8 262,107 263,8 263,107 264,8 264,107 265,8 265,107 266,8 266,107 267,8 267,107 268,8 268,107 269,8 269,107 270,8 270,107 271,8 271,107 272,8 272,107 273,8 273,107 274,8 274,107 275,8 275,107 276,8 276,107 277,8 277,107 278,8 278,107 279,8 279,107 280,8 280,107 281,8 281,107 260,9 281,9 260,10 281,10 260,11 281,11 260,12 281,12 260,13 281,13 260,14 281,14 260,15 281,15 260,16 281,16 260,17 281,17 260,18 281,18 260,19 281,19 260,20 281,20 260,21 281,21 260,22 281,22 260,23 281,23 260,24 281,24 260,25 281,25 260,26 281,26 260,27 281,27 260,28 281,28 260,29 281,29 260,30 281,30 260,31 281,31 260,32 281,32 260,33 281,33 260,34 281,34 260,35 281,35 260,36 281,36 260,37 281,37 260,38 281,38 260,39 281,39 260,40 281,40 260,41 281,41 260,42 281,42 260,43 281,43 260,44 281,44 260,45 281,45 260,46 281,46 260,47 281,47 260,48 281,48 260,49 281,49 260,50 281,50 260,51 281,51 260,52 281,52 260,53 281,53 260,54 281,54 260,55 281,55 260,56 281,56 260,57 281,57 260,58 281,58 260,59 281,59 260,60 281,60 260,61 281,61 260,62 281,62 260,63 281,63 260,64 281,64 260,65 281,65 260,66 281,66 260,67 281,67 260,68 281,68 260,69 281,69 260,70 281,70 260,71 281,71 260,72 281,72 260,73 281,73 260,74 281,74 260,75 281,75 260,76 281,76 260,77 281,77 260,78 281,78 260,79 281,79 260,80 281,80 260,81 281,81 260,82 281,82 260,83 281,83 260,84 281,84 260,85 281,85 260,86 281,86 260,87 281,87 260,88 281,88 260,89 281,89 260,90 281,90 260,91 281,91 260,92 281,92 260,93 281,93 260,94 281,94 260,95 281,95 260,96 281,96 260,97 281,97 260,98 281,98 260,99 281,99 260,100 281,100 260,101 281,101 260,102 281,102 260,103 281,103 260,104 281,104 260,105 281,105 260,106 281,106
